game_id,block_id,engine_white,engine_black,opening_white,opening_black,heuristic_white,heuristic_black,depth_white,depth_black,sim_white,sim_black,stockfish_elo,result_white,result_black,plies,avg_move_ms_white,p95_move_ms_white,max_move_ms_white,avg_move_ms_black,p95_move_ms_black,max_move_ms_black,max_material_swing_cp,blunder_white,blunder_black,white_castled_before_10,black_castled_before_10
I.1-001,I.1,alphabeta,random,off,na,na,na,3,,,,,W,L,37,4518.04,10246.99,10246.99,0.09,0.15,0.15,1650,0,0,1,0
I.1-002,I.1,alphabeta,random,off,na,na,na,3,,,,,W,L,27,2398.24,6034.10,6034.10,0.07,0.10,0.10,3160,0,0,0,0
I.1-003,I.1,alphabeta,random,off,na,na,na,3,,,,,W,L,25,3616.89,10612.63,10612.63,0.09,0.13,0.13,1330,0,0,0,0
I.1-004,I.1,alphabeta,random,off,na,na,na,3,,,,,W,L,43,3318.72,7133.65,7891.11,0.07,0.11,0.13,3370,0,0,0,0
I.1-005,I.1,alphabeta,random,off,na,na,na,3,,,,,W,L,11,3694.69,11219.84,11219.84,0.08,0.11,0.11,320,0,0,0,0
I.1-006,I.1,random,alphabeta,na,off,na,na,,3,,,,L,W,24,0.07,0.08,0.08,2924.37,8973.01,8973.01,2020,0,0,0,0
I.1-007,I.1,random,alphabeta,na,off,na,na,,3,,,,L,W,20,0.08,0.11,0.11,3496.86,13789.63,13789.63,0,0,0,0,1
I.1-008,I.1,random,alphabeta,na,off,na,na,,3,,,,L,W,18,0.07,0.11,0.11,2335.91,6490.38,6490.38,200,0,0,0,1
I.1-009,I.1,random,alphabeta,na,off,na,na,,3,,,,L,W,26,0.07,0.10,0.10,5465.80,21139.46,21139.46,2050,0,0,0,0
I.1-010,I.1,random,alphabeta,na,off,na,na,,3,,,,L,W,20,0.07,0.10,0.10,8566.82,24798.94,24798.94,600,0,0,0,0
I.2.d3-001,I.2.d3,alphabeta,minimax,off,na,na,na,3,3,,,,D,D,63,4272.73,9941.43,14788.46,3029.74,4616.45,4696.83,1250,0,0,1,0
I.2.d3-002,I.2.d3,alphabeta,minimax,off,na,na,na,3,3,,,,D,D,63,4250.90,9959.08,14993.80,3004.88,4638.77,4706.42,1250,0,0,1,0
I.2.d3-003,I.2.d3,alphabeta,minimax,off,na,na,na,3,3,,,,D,D,63,4264.04,9655.18,14840.01,2981.95,4669.24,4689.57,1250,0,0,1,0
I.2.d3-004,I.2.d3,alphabeta,minimax,off,na,na,na,3,3,,,,D,D,63,4263.40,10335.40,14880.97,2975.32,4550.09,4622.50,1250,0,0,1,0
I.2.d3-005,I.2.d3,alphabeta,minimax,off,na,na,na,3,3,,,,D,D,63,4337.17,10125.89,15033.13,2975.80,4677.59,4693.60,1250,0,0,1,0
I.2.d3-006,I.2.d3,minimax,alphabeta,na,off,na,na,3,3,,,,L,W,86,1877.86,3541.09,4236.14,3609.74,7430.79,11705.54,2610,0,0,0,0
I.2.d3-007,I.2.d3,minimax,alphabeta,na,off,na,na,3,3,,,,L,W,86,1867.63,3693.17,4208.16,3586.00,7763.73,10471.79,2610,0,0,0,0
I.2.d3-008,I.2.d3,minimax,alphabeta,na,off,na,na,3,3,,,,L,W,86,1876.44,3621.40,4285.79,3589.94,7930.60,10848.01,2610,0,0,0,0
I.2.d3-009,I.2.d3,minimax,alphabeta,na,off,na,na,3,3,,,,L,W,86,1879.74,3697.49,4171.68,3604.00,7884.95,10678.94,2610,0,0,0,0
I.2.d3-010,I.2.d3,minimax,alphabeta,na,off,na,na,3,3,,,,L,W,86,1863.96,3623.27,3878.90,3589.13,7779.84,10983.57,2610,0,0,0,0
I.3.d3.elo100-001,I.3.d3.elo100,alphabeta,stockfish,off,na,na,na,3,,,,100,W,L,61,6418.85,38254.01,62536.69,96.02,103.20,107.12,2620,0,0,1,1
I.3.d3.elo100-002,I.3.d3.elo100,stockfish,alphabeta,na,off,na,na,,3,,,100,L,W,164,100.66,102.56,103.69,8669.82,24294.61,70136.16,1850,0,0,0,1
I.3.d3.elo1000-001,I.3.d3.elo1000,alphabeta,stockfish,off,na,na,na,3,,,,1000,D,D,120,2742.02,6219.25,6819.48,101.27,101.87,105.24,1620,0,0,1,0
I.3.d3.elo1000-002,I.3.d3.elo1000,stockfish,alphabeta,na,off,na,na,,3,,,1000,L,W,94,97.54,102.19,105.90,7074.07,27673.33,32044.06,2260,0,0,0,1
